net_id,vertices_count,edges_count,artic_count,max_cliques,mean_degree_norm,far_vert_1,far_vert_2,far_vert_dist,edge_conn,edge_dens,min_cut,far_min_cut,strength
1,32811,35914533,7241,NA,0.06672284,399474,317508,6028.755,1,0.06672284,NA,NA,3629673
2,3241,369134,804,1032,0.070305614,170111,160258,1514.947,1,0.070305614,1,1,79841.67127
3,2027,154370,552,675,0.075179548,451553,454420,2850.43,1,0.075179548,1,1,82939.19852
4,2,1,0,1,1,135248,124500,0.703,1,1,1,1,0.703
5,483,13802,56,122,0.118570827,150979,150204,536.833,1,0.118570827,1,1,5634.289975
6,2604,150330,361,508,0.04435683,248119,244041,1346.429,1,0.04435683,1,1,17209.48999
7,153,997,68,78,0.085741314,1362,86477,314.749,1,0.085741314,1,1,886.8176078
8,32,244,8,9,0.491935484,43008,56391,110.578,1,0.491935484,1,1,453.167375
9,2247,205384,459,602,0.081392386,155028,157218,863.05,1,0.081392386,1,1,44951.00068
10,2659,871114,661,832,0.246508373,106925,42739,1387.715,1,0.246508373,1,1,304016.1399
11,754,15689,353,464,0.055266115,68299,314653,1541.499,1,0.055266115,1,1,19211.07249
12,3,2,1,2,0.666666667,132822,112288,1.25,1,0.666666667,1,1,0.833333333
13,240,3679,87,113,0.128277545,84324,74828,380.642,1,0.128277545,1,1,3752.078092
14,65,122,26,42,0.058653846,457037,456958,179.715,1,0.058653846,1,1,112.6379077
15,765,95350,142,177,0.326284091,147319,144237,733.312,1,0.326284091,1,1,48486.39434
16,400,20994,66,77,0.263082707,151837,151141,532.638,1,0.263082707,1,22,15343.03796
17,222,7444,34,44,0.303452774,233240,235119,356.26,1,0.303452774,1,2,7095.803523
18,410,33969,79,94,0.405140438,220894,222644,317.101,1,0.405140438,1,1,12447.35533
19,21,22,14,18,0.104761905,6866,98679,40.578,1,0.104761905,1,1,9.120095238
20,1118,97174,376,443,0.155627055,101616,6327,634.938,1,0.155627055,1,1,34993.03425
21,516,27618,146,202,0.207857304,183361,198501,998.894,1,0.207857304,1,1,24032.42819
22,4,3,2,3,0.5,62344,85237,4.317,1,0.5,1,1,2.1585
23,237,373,124,195,0.013337624,45857,1174,108.208,1,0.013337624,1,1,25.53668354
24,1810,314056,326,386,0.191831512,172844,174134,903.143,1,0.191831512,1,56,97237.9521
25,98,862,25,36,0.181359142,424060,424145,257.326,1,0.181359142,1,12,1681.468204
26,418,7355,124,161,0.084391817,79984,16329,274.876,1,0.084391817,1,1,1921.385742
27,31,63,15,18,0.135483871,135153,27963,62.5,1,0.135483871,1,2,54.52664516
28,1665,63795,338,461,0.046052062,228005,231466,906.019,1,0.046052062,1,10,7936.724404
29,736,11255,224,361,0.04161121,54459,33428,510.317,1,0.04161121,1,1,4974.579087
30,20,23,13,15,0.121052632,121618,37569,33.256,1,0.121052632,1,1,9.4935
31,454,11481,113,135,0.111649211,443378,443837,843.969,1,0.111649211,1,1,6671.28896
32,122,1892,22,28,0.25633383,473864,473644,761.156,1,0.25633383,1,1,6082.014754
33,1731,29994,565,881,0.020031857,5933,130102,1275.396,1,0.020031857,1,1,4580.589187
34,2397,93217,647,830,0.032461626,459826,463173,2580.165,1,0.032461626,1,1,27681.47836
35,609,32719,227,258,0.176729539,161025,164708,546.219,1,0.176729539,1,1,25569.58132
36,1076,176225,198,214,0.304703034,216704,214628,590.491,1,0.304703034,1,213,76948.31113
37,261,2372,100,142,0.069908635,6049,64343,252.781,1,0.069908635,1,4,1044.017556
38,6,5,3,5,0.333333333,66539,41678,6.855,1,0.333333333,1,1,2.348333333
39,7,9,3,4,0.428571429,354495,352418,9.646,1,0.428571429,1,1,11.52771429
40,200,8727,52,61,0.438542714,472506,471722,239.527,1,0.438542714,1,131,9344.32855
41,100,536,39,47,0.108282828,72811,112242,226.807,1,0.108282828,1,1,546.9306
42,8,8,4,6,0.285714286,69531,76793,22.258,1,0.285714286,1,1,12.015
43,1190,3334,539,897,0.004712667,2966,91282,562.897,1,0.004712667,1,1,588.6163815
44,36,413,6,8,0.655555556,251770,252716,119.776,1,0.655555556,1,28,1041.143444
45,326,8186,80,93,0.15452572,439752,441156,1196.13,1,0.15452572,1,1,9048.012086
46,258,1430,113,143,0.043133351,77879,75799,149.097,1,0.043133351,1,1,406.8529302
47,1463,198639,480,587,0.185738878,17457,6401,697.393,1,0.185738878,1,1,65038.21626
48,1603,58994,300,449,0.045945376,416267,411282,1613.854,1,0.045945376,1,1,12743.03181
49,62,140,29,35,0.074034902,29997,64389,69.644,1,0.074034902,1,1,53.857
50,1529,92416,314,384,0.079112721,428160,435543,3123.395,1,0.079112721,1,1,50246.4823
51,13,27,5,7,0.346153846,142079,141820,32.134,1,0.346153846,1,1,58.68784615
52,536,15028,129,155,0.104812387,447962,446971,3497.365,1,0.104812387,1,1,11744.63953
53,338,1849,97,160,0.032465366,194,121725,320.07,1,0.032465366,1,10,643.0552249
54,18,59,4,5,0.385620915,145453,149074,52.241,1,0.385620915,1,1,70.931
55,2,1,0,1,1,5468,4916,0.92,1,1,1,1,0.92
56,453,9479,157,191,0.092588251,40691,17531,466.335,1,0.092588251,1,1,4877.649038
57,749,24504,288,365,0.087474922,5742,21,306.105,1,0.087474922,1,2,6664.155186
58,441,66153,59,70,0.681849103,250450,249699,633.069,1,0.681849103,1,363,84597.46907
59,1780,47894,576,719,0.030249288,478074,475808,1310.401,1,0.030249288,1,1,11868.72728
60,586,17378,128,187,0.101385607,153710,154150,484.12,1,0.101385607,1,4,7813.414751
61,9,11,4,5,0.305555556,19481,48870,38.833,1,0.305555556,1,1,22.41911111
62,26,57,13,15,0.175384615,289,98600,33.511,1,0.175384615,1,1,50.93284615
63,454,2939,213,274,0.028580875,2217,91633,430.353,1,0.028580875,1,1,1000.048322
64,825,24111,344,421,0.070935569,107107,93761,850.529,1,0.070935569,1,1,17075.69627
65,48,908,5,6,0.804964539,234102,232320,144.123,1,0.804964539,1,42,2714.802833
66,6,5,4,5,0.333333333,349655,353156,11.657,1,0.333333333,1,1,3.885666667
67,146,3657,42,48,0.345488899,85456,115308,617.999,1,0.345488899,1,1,13963.86299
68,364,5262,132,169,0.079647625,4237,126731,535.638,1,0.079647625,1,1,4709.666126
69,26,301,1,2,0.926153846,250893,252277,85.278,1,0.926153846,1,24,952.9494615
70,29,115,9,11,0.283251232,134203,14274,67.031,1,0.283251232,1,3,169.261931
71,40,446,8,10,0.571794872,457462,457369,260.183,1,0.571794872,1,1,1867.6208
72,12,39,3,4,0.590909091,58489,81317,54.638,1,0.590909091,1,1,185.3215
73,74,352,31,39,0.130322103,78948,34159,98.124,1,0.130322103,1,1,217.2606216
74,58,379,16,18,0.229280097,19666,33266,153.441,1,0.229280097,1,1,623.4613448
75,382,34355,77,98,0.472097401,147989,144840,492.709,1,0.472097401,1,2,30260.89531
76,2,1,0,1,1,75997,83373,3.387,1,1,1,1,3.387
77,7,21,0,1,1,1446,130843,39.098,6,1,6,6,136.4385714
78,16,93,2,3,0.775,108096,87612,136.295,1,0.775,1,13,754.10825
79,325,760,180,230,0.014434948,80964,18408,148.631,1,0.014434948,1,1,70.49654769
80,20,110,5,6,0.578947368,128701,141059,152.106,1,0.578947368,1,14,820.5551
81,15,27,4,8,0.257142857,19648,131941,49.366,1,0.257142857,1,1,38.12866667
82,4,3,2,3,0.5,97608,127903,9.756,1,0.5,1,1,4.878
83,23,39,12,15,0.154150198,314354,316189,196.078,1,0.154150198,1,1,119.4304348
84,2,1,0,1,1,43766,85182,0.065,1,1,1,1,0.065
85,7,12,2,3,0.571428571,113926,7853,26.355,1,0.571428571,1,1,56.57
86,36,154,12,14,0.244444444,4345,51145,193.459,1,0.244444444,1,1,458.595
87,181,590,73,106,0.036218539,33063,7524,193.513,1,0.036218539,1,1,190.3108066
88,380,1684,188,220,0.023385641,141681,33122,186.293,1,0.023385641,1,1,215.3172158
89,3,2,1,2,0.666666667,41874,127704,4.186,1,0.666666667,1,1,2.790666667
90,420,48239,59,73,0.548232754,144103,143169,719.497,1,0.548232754,1,309,69318.58243
91,9,11,4,6,0.305555556,142193,142339,28.673,1,0.305555556,1,1,21.92622222
92,75,1408,15,18,0.507387387,33399,97928,172.388,1,0.507387387,1,2,2892.38504
93,23,232,1,2,0.916996047,148912,148383,85.237,1,0.916996047,1,21,713.0594783
94,7,6,5,6,0.285714286,88373,62257,11.461,1,0.285714286,1,1,3.274571429
95,21,157,2,3,0.747619048,456892,456733,552.243,1,0.747619048,1,2,3279.04981
96,13,21,5,7,0.269230769,28894,8094,42,1,0.269230769,1,3,44.764
97,14,20,6,9,0.21978022,33357,37580,49.424,1,0.21978022,1,1,21.52142857
98,92,1374,21,35,0.32823698,471343,470703,205.634,1,0.32823698,1,1,2781.588652
99,105,788,27,34,0.144322344,455353,455031,624.304,1,0.144322344,1,1,1774.492667
100,249,21364,38,42,0.691929006,235032,234485,415.661,1,0.691929006,1,1,26893.43588
101,2,1,0,1,1,470507,472328,0.689,1,1,1,1,0.689
102,72,122,26,51,0.047730829,22660,87253,127.05,1,0.047730829,1,1,67.21988889
103,27,59,10,15,0.168091168,222521,221504,47.746,1,0.168091168,1,1,71.36577778
104,17,32,9,10,0.235294118,125784,128792,138.734,1,0.235294118,1,1,137.5835294
105,36,531,3,4,0.842857143,142840,143063,77.344,1,0.842857143,1,1,1207.316444
106,15,14,13,14,0.133333333,462161,462154,31.873,1,0.133333333,1,1,4.249733333
107,4,3,1,3,0.5,58191,32,4.354,1,0.5,1,1,2.326
108,5,4,3,4,0.4,480729,481308,25.607,1,0.4,1,1,10.2428
109,52,354,18,19,0.266968326,477629,477307,230.108,1,0.266968326,1,1,673.5262692
110,142,290,82,103,0.028968135,2701,126613,149.024,1,0.028968135,1,1,64.82657746
111,18,41,5,9,0.267973856,470717,471378,94.021,1,0.267973856,1,1,110.7141111
112,5,10,0,1,1,3546,104912,86.674,4,1,4,4,186.2524
113,10,24,3,4,0.533333333,207212,209599,54.332,1,0.533333333,1,1,118.1338
114,50,97,24,30,0.079183673,33385,139000,252.379,1,0.079183673,1,1,171.29908
115,47,111,23,26,0.102682701,139148,93680,73.116,1,0.102682701,1,1,85.64089362
116,2,1,0,1,1,214159,219231,4.141,1,1,1,1,4.141
117,49,303,12,15,0.257653061,132966,34311,214.256,1,0.257653061,1,4,528.0259592
118,28,220,4,6,0.582010582,470203,469894,337.058,1,0.582010582,1,3,1494.641357
119,45,140,13,14,0.141414141,456626,456530,759.697,1,0.141414141,1,1,531.4321778
120,134,784,42,55,0.087981147,31011,89368,154.57,1,0.087981147,1,1,407.0676716
121,3,2,1,2,0.666666667,28893,45676,4.543,1,0.666666667,1,1,3.028666667
122,27,138,5,8,0.393162393,481826,481671,206.972,1,0.393162393,1,4,673.5596296
123,82,600,29,37,0.180668473,140104,109104,237.936,1,0.180668473,1,1,1114.041829
124,4,4,1,2,0.666666667,233553,234707,14.971,1,0.666666667,1,2,16.867
125,10,22,2,3,0.488888889,77100,23048,57.025,1,0.488888889,1,1,95.1726
126,304,13859,31,40,0.300916276,153576,153254,425.248,1,0.300916276,1,80,7429.369033
127,30,239,8,9,0.549425287,62527,79191,181.193,1,0.549425287,1,21,1379.003133
128,3,2,1,2,0.666666667,250871,249948,20.07,1,0.666666667,1,1,13.38
129,23,146,3,4,0.577075099,207514,205545,130.727,1,0.577075099,1,16,744.9310435
130,45,178,19,21,0.17979798,5399,76915,226.833,1,0.17979798,1,1,487.5049333
131,4,3,2,3,0.5,355680,356248,7.422,1,0.5,1,1,3.711
132,108,251,57,69,0.043440637,482887,483155,279.233,1,0.043440637,1,1,200.1079444
133,172,9216,30,37,0.626682987,233077,234791,211.831,1,0.626682987,1,135,9973.579035
134,40,206,11,14,0.264102564,482041,482318,230.511,1,0.264102564,1,1,452.297
135,24,79,9,12,0.286231884,138941,28207,141.446,1,0.286231884,1,1,173.5180833
136,21,174,1,2,0.828571429,474174,473601,178.772,2,0.828571429,2,18,1330.781714
137,5,5,1,3,0.5,481798,481696,26.155,1,0.5,1,1,27.4112
138,3,2,1,2,0.666666667,73682,34208,3.919,1,0.666666667,1,1,2.612666667
139,271,8341,50,72,0.227989613,17657,73961,524.33,1,0.227989613,1,1,12572.7232
140,41,98,13,20,0.119512195,456336,455874,198.429,1,0.119512195,1,1,176.1284878
141,25,40,13,17,0.133333333,59298,69586,23.584,1,0.133333333,1,1,13.83176
142,26,56,11,15,0.172307692,117197,141223,49.53,1,0.172307692,1,1,78.77815385
143,3,2,1,2,0.666666667,135175,40573,3.276,1,0.666666667,1,1,2.184
144,15,80,2,3,0.761904762,110009,50044,47.415,1,0.761904762,1,12,274.6018667
145,23,70,7,11,0.276679842,469961,470083,340.92,1,0.276679842,1,1,731.9184348
146,33,132,8,11,0.25,117309,9204,95.498,1,0.25,1,8,215.0251515
147,24,111,4,5,0.402173913,193550,201332,140.907,1,0.402173913,1,1,329.2578333
148,21,77,4,6,0.366666667,142991,142607,90.34,1,0.366666667,1,2,150.0975238
149,3,2,1,2,0.666666667,258777,50212,0.322,1,0.666666667,1,1,0.214666667
150,29,328,3,4,0.807881773,6511,9093,119.788,1,0.807881773,1,25,1411.960207
151,22,38,11,13,0.164502165,445850,445435,176.881,1,0.164502165,1,1,119.3356364
152,5,4,3,4,0.4,26881,110876,12.282,1,0.4,1,1,4.9128
153,174,1403,78,90,0.093216398,4139,108019,315.567,1,0.093216398,1,1,968.1887126
154,15,50,4,6,0.476190476,70480,19415,40.657,1,0.476190476,1,1,117.1764
155,2,1,0,1,1,94532,87303,0.337,1,1,1,1,0.337
156,17,19,10,14,0.139705882,33105,140355,38.403,1,0.139705882,1,1,14.79894118
157,3,2,1,2,0.666666667,480636,481459,0.483,1,0.666666667,1,1,0.322
158,6,5,3,5,0.333333333,198911,195190,39.591,1,0.333333333,1,1,13.21533333
159,4,3,2,3,0.5,25943,55156,3.449,1,0.5,1,1,1.7245
160,147,537,80,86,0.050041935,311110,310810,656.399,1,0.050041935,1,1,1168.538082
161,8,18,1,2,0.642857143,195504,193054,144.038,2,0.642857143,2,2,221.63475
162,33,49,18,22,0.09280303,32127,18412,35.707,1,0.09280303,1,1,16.82193939
163,2,1,0,1,1,78969,63391,3.389,1,1,1,1,3.389
164,30,52,17,22,0.11954023,88497,33244,40.217,1,0.11954023,1,1,36.27073333
165,24,194,4,5,0.702898551,440510,440502,325.208,1,0.702898551,1,19,2299.103333
166,186,9781,38,42,0.56849753,144909,147196,325.718,1,0.56849753,1,1,14648.22733
167,2,1,0,1,1,331211,330657,2.019,1,1,1,1,2.019
168,79,991,25,29,0.321648815,3136,64470,156.973,1,0.321648815,1,3,1460.000835
169,34,167,9,11,0.297682709,34306,139133,129.241,1,0.297682709,1,1,400.3708824
170,2,1,0,1,1,64981,749,0.141,1,1,1,1,0.141
171,4,4,1,2,0.666666667,69709,4872,15.963,1,0.666666667,1,1,16.5725
172,2,1,0,1,1,204859,205986,0.618,1,1,1,1,0.618
173,20,124,4,5,0.652631579,142676,142979,52.661,1,0.652631579,1,1,314.8709
174,2,1,0,1,1,482653,482668,15.891,1,1,1,1,15.891
175,9,10,4,6,0.277777778,24055,25091,46.631,1,0.277777778,1,1,28.29711111
176,2,1,0,1,1,314702,316566,2.963,1,1,1,1,2.963
177,55,227,19,22,0.152861953,49068,81243,333.86,1,0.152861953,1,1,556.0442545
178,5,4,3,4,0.4,70545,121371,5.311,1,0.4,1,1,2.1244
179,3,2,1,2,0.666666667,461165,461913,32.097,1,0.666666667,1,1,21.398
180,11,26,2,4,0.472727273,117249,15417,37.375,1,0.472727273,1,1,84.514
181,2,1,0,1,1,106963,126742,0.163,1,1,1,1,0.163
182,3,2,1,2,0.666666667,688,96696,24.963,1,0.666666667,1,1,16.642
183,3,2,1,2,0.666666667,62526,89650,0.406,1,0.666666667,1,1,0.270666667
184,57,538,9,10,0.337092732,149060,142923,185.886,1,0.337092732,1,14,913.6642807
185,14,20,6,8,0.21978022,133106,123491,27.828,1,0.21978022,1,1,14.66528571
